timestamp,scenario,condition,trial,success,latency,attempts,tokens,stop_reason,confidence_score,TC,SC,MS
20260323_135100,L2-B,bl1,5,True,1.597,1,500,success,,,,
20260323_135100,L2-B,bl1,6,True,0.128,1,500,success,,,,
20260323_135100,L2-B,bl1,7,True,0.997,1,500,success,,,,
20260323_135100,L2-B,bl1,8,True,0.062,1,500,success,,,,
20260323_135100,L2-B,bl1,9,True,1.005,1,500,success,,,,
20260323_135100,L2-B,bl1,10,True,1.057,1,500,success,,,,
20260323_135100,L2-B,bl1,11,True,1.661,1,500,success,,,,
20260323_135100,L2-B,bl1,12,True,0.069,1,500,success,,,,
20260323_135100,L2-B,bl1,13,True,1.404,1,500,success,,,,
20260323_135100,L2-B,bl1,14,True,1.175,1,500,success,,,,
20260323_135100,L2-B,bl1,15,True,1.223,1,500,success,,,,
20260323_135100,L2-B,bl1,16,True,0.111,1,500,success,,,,
20260323_135100,L2-B,bl1,17,True,1.082,1,500,success,,,,
20260323_135100,L2-B,bl1,18,True,0.074,1,500,success,,,,
20260323_135100,L2-B,bl1,19,True,1.035,1,500,success,,,,
20260323_135100,L2-B,bl1,20,True,0.088,1,500,success,,,,
20260323_135100,L2-B,proposed,1,True,1.741,1,500,success,0.5,1.0,0.0,0.0
20260323_135100,L2-B,proposed,2,True,1.338,2,1000,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,3,True,0.336,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,4,True,1.66,3,1500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,5,True,1.304,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,6,True,1.477,3,1500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,7,True,1.454,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,8,True,1.325,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,9,True,1.058,2,1000,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,10,True,1.052,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,11,True,0.379,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,12,True,1.646,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,13,True,1.123,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,14,True,1.926,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,15,True,1.536,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,16,True,1.24,2,1000,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,17,True,1.594,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,18,True,0.352,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,19,True,1.151,3,1500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-B,proposed,20,True,1.322,1,500,success,0.7,1.0,0.0,1.0
20260323_135100,L2-C,bl0,1,False,0.119,1,,error,,,,
20260323_135100,L2-C,bl0,2,False,0.103,1,,error,,,,
20260323_135100,L2-C,bl0,3,False,0.131,1,,error,,,,
20260323_135100,L2-C,bl0,4,False,0.11,1,,error,,,,
20260323_135100,L2-C,bl0,5,False,0.119,1,,error,,,,
20260323_135100,L2-C,bl0,6,False,0.114,1,,error,,,,
20260323_135100,L2-C,bl0,7,False,0.12,1,,error,,,,
20260323_135100,L2-C,bl0,8,False,0.146,1,,error,,,,
20260323_135100,L2-C,bl0,9,False,0.14,1,,error,,,,
20260323_135100,L2-C,bl0,10,False,0.105,1,,error,,,,
20260323_135100,L2-C,bl0,11,False,0.109,1,,error,,,,
20260323_135100,L2-C,bl0,12,False,0.144,1,,error,,,,
20260323_135100,L2-C,bl0,13,False,0.129,1,,error,,,,
20260323_135100,L2-C,bl0,14,False,0.101,1,,error,,,,
20260323_135100,L2-C,bl0,15,False,0.127,1,,error,,,,
20260323_135100,L2-C,bl0,16,False,0.104,1,,error,,,,
20260323_135100,L2-C,bl0,17,False,0.115,1,,error,,,,
20260323_135100,L2-C,bl0,18,False,0.094,1,,error,,,,
